"","Mound_ID","Shell_ID","Cage_ID","Cage_type","Mound_Num","Site","Sample_dat","Num_spat","Length_1","Length_2","Length_3","Length_4","Length_5","Total_m","meas30","meas25","meas20","percentless30","Num_spat_30","percentless25","Num_spat_25","percentless20","Num_spat_20","Mound_Treat","Deployment","treatbi","treattri","Sample_dat_num","salc","saln","curc","curn","logNum_spat","Obs"
"353","ClamShoal211",123644,"12364","Open",211,"Clam Shoal","Spring_2011",2,42.3,59.9,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.09861228866811,228
"354","ClamShoal211",123647,"12364","Open",211,"Clam Shoal","Spring_2011",4,45.5,63.8,46.6,47.6,NA,4,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.6094379124341,229
"355","ClamShoal211",123645,"12364","Open",211,"Clam Shoal","Fall_2010",8,29.5,20,21.9,12.1,20.3,5,5,4,2,1,8,0.8,6,0.4,3.2,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.19722457733622,230
"356","ClamShoal211",123641,"12364","Open",211,"Clam Shoal","Fall_2010",6,26,26.1,24.9,20,21.9,5,5,3,1,1,6,0.6,4,0.2,1.2,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,1.94591014905531,231
"357","ClamShoal211",124859,"12485","Roof",211,"Clam Shoal","Fall_2010",21,30.2,30.9,16.6,19.8,18.6,5,3,3,3,0.6,12.6,0.6,13,0.6,12.6,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,3.09104245335832,232
"358","ClamShoal211",136481,"13648","Large Mesh",211,"Clam Shoal","Summer_2010",26,15.3,12.6,10.6,9.5,16,5,5,5,5,1,26,1,26,1,26,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.29583686600433,233
"360","ClamShoal211",124854,"12485","Roof",211,"Clam Shoal","Fall_2010",21,25.9,20.2,16.7,25.4,32.8,5,4,2,1,0.8,16.8,0.4,8,0.2,4.2,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,3.09104245335832,234
"361","ClamShoal211",134229,"13422","Control",211,"Clam Shoal","Fall_2010",12,25.3,21.4,23.2,26.3,22.8,5,5,3,0,1,12,0.6,7,0,0,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.56494935746154,235
"363","ClamShoal211",136487,"13648","Large Mesh",211,"Clam Shoal","Summer_2010",8,15.1,22.4,17.4,8.7,9.5,5,5,5,4,1,8,1,8,0.8,6.4,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.19722457733622,236
"365","ClamShoal211",146016,"14601","Small Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,237
"366","ClamShoal211",123641,"12364","Open",211,"Clam Shoal","Summer_2010",6,21.7,15.3,15.3,15.6,18.6,5,5,5,4,1,6,1,6,0.8,4.8,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,1.94591014905531,238
"367","ClamShoal211",146013,"14601","Small Mesh",211,"Clam Shoal","Summer_2010",21,17.4,18.3,14.3,12.7,15,5,5,5,5,1,21,1,21,1,21,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.09104245335832,239
"369","ClamShoal211",136497,"13649","Large Mesh",211,"Clam Shoal","Fall_2010",4,33.2,22.8,13.8,21.3,NA,4,3,3,1,0.75,3,0.75,3,0.25,1,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,1.6094379124341,240
"370","ClamShoal211",124853,"12485","Roof",211,"Clam Shoal","Fall_2010",22,23.4,34.6,36.6,23.5,34.3,5,2,2,0,0.4,8.8,0.4,9,0,0,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,3.13549421592915,241
"371","ClamShoal211",136486,"13648","Large Mesh",211,"Clam Shoal","Summer_2010",16,18.9,20.2,16.8,17.9,26.2,5,5,4,3,1,16,0.8,13,0.6,9.6,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.83321334405622,242
"372","ClamShoal211",123647,"12364","Open",211,"Clam Shoal","Fall_2010",13,34.9,39.1,35,36.5,29.3,5,1,0,0,0.2,2.6,0,0,0,0,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.63905732961526,243
"373","ClamShoal211",146015,"14601","Small Mesh",211,"Clam Shoal","Fall_2010",5,11.2,15.9,17,27.9,19.9,5,5,4,4,1,5,0.8,4,0.8,4,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,1.79175946922805,244
"374","ClamShoal211",123648,"12364","Open",211,"Clam Shoal","Fall_2011",1,22.4,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0.693147180559945,245
"375","ClamShoal211",134224,"13422","Control",211,"Clam Shoal","Summer_2010",25,31.2,21.8,15.6,21.9,19.4,5,4,4,2,0.8,20,0.8,20,0.4,10,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.25809653802148,246
"376","ClamShoal211",146013,"14601","Small Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,247
"379","ClamShoal211",136484,"13648","Large Mesh",211,"Clam Shoal","Summer_2010",22,17.1,14.6,20.3,15.2,16.5,5,5,5,4,1,22,1,22,0.8,17.6,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.13549421592915,248
"381","ClamShoal211",146016,"14601","Small Mesh",211,"Clam Shoal","Summer_2010",9,16.7,11.3,11.7,16.9,17.7,5,5,5,5,1,9,1,9,1,9,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.30258509299405,249
"382","ClamShoal211",146015,"14601","Small Mesh",211,"Clam Shoal","Summer_2010",26,21.3,13.7,18.4,23,22.1,5,5,5,2,1,26,1,26,0.4,10.4,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.29583686600433,250
"383","ClamShoal211",136498,"13649","Large Mesh",211,"Clam Shoal","Fall_2010",23,36.3,30.4,20.6,34.9,20.5,5,2,2,0,0.4,9.2,0.4,9,0,0,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,3.17805383034795,251
"384","ClamShoal211",146012,"14601","Small Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,252
"385","ClamShoal211",123641,"12364","Open",211,"Clam Shoal","Spring_2011",1,24.7,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,0.693147180559945,253
"386","ClamShoal211",136488,"13648","Large Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,254
"387","ClamShoal211",146011,"14601","Small Mesh",211,"Clam Shoal","Fall_2010",15,16.1,16.7,18.4,15,14.4,5,5,5,5,1,15,1,15,1,15,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.77258872223978,255
"388","ClamShoal211",136484,"13648","Large Mesh",211,"Clam Shoal","Spring_2011",4,51.2,50.6,49.3,25.9,NA,4,1,0,0,0.25,1,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.6094379124341,256
"389","ClamShoal211",134221,"13422","Control",211,"Clam Shoal","Summer_2010",26,17.8,18.8,9.4,23,19.9,5,5,5,4,1,26,1,26,0.8,20.8,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.29583686600433,257
"390","ClamShoal211",134227,"13422","Control",211,"Clam Shoal","Summer_2010",13,12.4,22.1,14.6,17.4,12.3,5,5,5,4,1,13,1,13,0.8,10.4,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.63905732961526,258
"391","ClamShoal211",134222,"13422","Control",211,"Clam Shoal","Summer_2010",7,20,22.4,17.4,21,14.3,5,5,5,3,1,7,1,7,0.6,4.2,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.07944154167984,259
"392","ClamShoal211",123643,"12364","Open",211,"Clam Shoal","Summer_2010",7,13.6,24.6,32,16.2,26.9,5,4,3,2,0.8,5.6,0.6,4,0.4,2.8,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.07944154167984,260
"393","ClamShoal211",134228,"13422","Control",211,"Clam Shoal","Summer_2010",17,20.7,10.1,20.1,18.7,19.6,5,5,5,3,1,17,1,17,0.6,10.2,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.89037175789616,261
"394","ClamShoal211",134229,"13422","Control",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,262
"396","ClamShoal211",146018,"14601","Small Mesh",211,"Clam Shoal","Summer_2010",8,4.5,17.4,9.1,10.6,19.8,5,5,5,5,1,8,1,8,1,8,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.19722457733622,263
"397","ClamShoal211",136492,"13649","Large Mesh",211,"Clam Shoal","Fall_2010",11,46,15.9,19.1,12,18.5,5,4,4,4,0.8,8.8,0.8,9,0.8,8.8,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.484906649788,264
"398","ClamShoal211",123644,"12364","Open",211,"Clam Shoal","Fall_2010",9,26.3,25,22.1,38.9,12.9,5,4,3,1,0.8,7.2,0.6,5,0.2,1.8,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.30258509299405,265
"400","ClamShoal211",124857,"12485","Roof",211,"Clam Shoal","Fall_2010",10,34.6,33.4,14,36.6,27.7,5,2,1,1,0.4,4,0.2,2,0.2,2,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.39789527279837,266
"402","ClamShoal211",124858,"12485","Roof",211,"Clam Shoal","Summer_2010",7,21.2,22.7,19.1,17.1,14.5,5,5,5,3,1,7,1,7,0.6,4.2,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.07944154167984,267
"403","ClamShoal211",124851,"12485","Roof",211,"Clam Shoal","Fall_2010",35,43.1,30.3,34,28.4,24.6,5,2,1,0,0.4,14,0.2,7,0,0,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,3.58351893845611,268
"404","ClamShoal211",146016,"14601","Small Mesh",211,"Clam Shoal","Fall_2010",8,19.1,19.4,21.9,20.3,32.7,5,4,4,2,0.8,6.4,0.8,6,0.4,3.2,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.19722457733622,269
"407","ClamShoal211",136491,"13649","Large Mesh",211,"Clam Shoal","Fall_2010",22,25.1,13.6,29,17.8,21.4,5,5,3,2,1,22,0.6,13,0.4,8.8,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,3.13549421592915,270
"409","ClamShoal211",136496,"13649","Large Mesh",211,"Clam Shoal","Fall_2010",17,25.9,26.9,14.3,18.5,22.7,5,5,3,2,1,17,0.6,10,0.4,6.8,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.89037175789616,271
"410","ClamShoal211",146017,"14601","Small Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,272
"411","ClamShoal211",136486,"13648","Large Mesh",211,"Clam Shoal","Spring_2011",4,61.6,58.5,62.6,19.4,NA,4,1,1,1,0.25,1,0.25,1,0.25,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.6094379124341,273
"412","ClamShoal211",134228,"13422","Control",211,"Clam Shoal","Fall_2010",15,31.5,22.5,15.2,21.3,24.9,5,4,4,1,0.8,12,0.8,12,0.2,3,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.77258872223978,274
"413","ClamShoal211",134226,"13422","Control",211,"Clam Shoal","Fall_2010",15,22.3,26.6,28.6,27.4,31.4,5,4,1,0,0.8,12,0.2,3,0,0,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.77258872223978,275
"414","ClamShoal211",136485,"13648","Large Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,276
"416","ClamShoal211",134223,"13422","Control",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,277
"417","ClamShoal211",136482,"13648","Large Mesh",211,"Clam Shoal","Spring_2011",5,58.6,24.6,15.5,16.8,28.8,5,4,3,2,0.8,4,0.6,3,0.4,2,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.79175946922805,278
"418","ClamShoal211",124854,"12485","Roof",211,"Clam Shoal","Summer_2010",23,20.1,24.1,11.9,9.1,14.1,5,5,5,3,1,23,1,23,0.6,13.8,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.17805383034795,279
"419","ClamShoal211",146019,"14601","Small Mesh",211,"Clam Shoal","Fall_2010",9,29.3,18.1,22.5,18.6,28.6,5,5,3,2,1,9,0.6,5,0.4,3.6,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.30258509299405,280
"420","ClamShoal211",134228,"13422","Control",211,"Clam Shoal","Fall_2011",1,54.8,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0.693147180559945,281
"421","ClamShoal211",146019,"14601","Small Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,282
"423","ClamShoal211",146019,"14601","Small Mesh",211,"Clam Shoal","Summer_2010",9,20.3,14.3,12.2,16.4,15.1,5,5,5,4,1,9,1,9,0.8,7.2,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.30258509299405,283
"426","ClamShoal211",134222,"13422","Control",211,"Clam Shoal","Fall_2010",9,22.2,28.6,19.9,18.2,22.4,5,5,4,2,1,9,0.8,7,0.4,3.6,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.30258509299405,284
"427","ClamShoal211",134221,"13422","Control",211,"Clam Shoal","Fall_2010",19,24.4,31.6,35.9,19.7,17.2,5,3,3,2,0.6,11.4,0.6,11,0.4,7.6,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,2.99573227355399,285
"428","ClamShoal211",136483,"13648","Large Mesh",211,"Clam Shoal","Spring_2011",2,42.4,16,NA,NA,NA,2,1,1,1,0.5,1,0.5,1,0.5,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.09861228866811,286
"429","ClamShoal211",123645,"12364","Open",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,287
"431","ClamShoal211",124857,"12485","Roof",211,"Clam Shoal","Summer_2010",38,12.6,18.6,20.9,14.9,9.4,5,5,5,4,1,38,1,38,0.8,30.4,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.66356164612965,288
"432","ClamShoal211",146018,"14601","Small Mesh",211,"Clam Shoal","Fall_2010",5,24.3,20.6,18.8,14.8,15.6,5,5,5,3,1,5,1,5,0.6,3,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,1.79175946922805,289
"433","ClamShoal211",134227,"13422","Control",211,"Clam Shoal","Fall_2011",2,50,23,NA,NA,NA,2,1,1,0,0.5,1,0.5,1,0,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,1.09861228866811,290
"434","ClamShoal211",134221,"13422","Control",211,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,0,291
"435","ClamShoal211",124855,"12485","Roof",211,"Clam Shoal","Spring_2011",1,13.4,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,0.693147180559945,292
"438","ClamShoal211",123648,"12364","Open",211,"Clam Shoal","Fall_2010",24,33.8,22.2,18.2,18.5,25.1,5,4,3,2,0.8,19.2,0.6,14,0.4,9.6,"Shell","Early","New","Early dep",2,"High",21.16,"High",8.87,3.2188758248682,293
"442","ClamShoal211",136484,"13648","Large Mesh",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,294
"446","ClamShoal211",134225,"13422","Control",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,295
"449","ClamShoal211",124854,"12485","Roof",211,"Clam Shoal","Spring_2011",3,49.3,19,35.8,NA,NA,3,1,1,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.38629436111989,296
"450","ClamShoal211",123649,"12364","Open",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,297
"451","ClamShoal211",124851,"12485","Roof",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,298
"452","ClamShoal211",124852,"12485","Roof",211,"Clam Shoal","Fall_2011",2,51.4,44.6,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,1.09861228866811,299
"454","ClamShoal211",146016,"14601","Small Mesh",211,"Clam Shoal","Spring_2011",3,24.5,45,48.1,NA,NA,3,1,1,0,0.333333333333333,1,0.333333333333333,1,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.38629436111989,300
"456","ClamShoal211",136481,"13648","Large Mesh",211,"Clam Shoal","Fall_2011",1,24.9,NA,NA,NA,NA,1,1,1,0,1,1,1,1,0,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0.693147180559945,301
"457","ClamShoal211",146018,"14601","Small Mesh",211,"Clam Shoal","Spring_2011",1,41.5,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,0.693147180559945,302
"458","ClamShoal211",124852,"12485","Roof",211,"Clam Shoal","Spring_2011",3,17.5,43.3,49.3,NA,NA,3,1,1,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.38629436111989,303
"459","ClamShoal211",146017,"14601","Small Mesh",211,"Clam Shoal","Spring_2011",2,27.7,36,NA,NA,NA,2,1,0,0,0.5,1,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.09861228866811,304
"460","ClamShoal211",124857,"12485","Roof",211,"Clam Shoal","Spring_2011",3,45,50.9,52.3,NA,NA,3,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.38629436111989,305
"466","ClamShoal211",124858,"12485","Roof",211,"Clam Shoal","Fall_2011",1,32.7,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0.693147180559945,306
"467","ClamShoal211",136481,"13648","Large Mesh",211,"Clam Shoal","Spring_2011",2,26,15.1,NA,NA,NA,2,2,1,1,1,2,0.5,1,0.5,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.09861228866811,307
"469","ClamShoal211",123646,"12364","Open",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,308
"471","ClamShoal211",124851,"12485","Roof",211,"Clam Shoal","Spring_2011",10,39.9,58.8,56.3,39.4,50.2,5,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,2.39789527279837,309
"472","ClamShoal211",124854,"12485","Roof",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,310
"475","ClamShoal211",134222,"13422","Control",211,"Clam Shoal","Spring_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,0,311
"476","ClamShoal211",124853,"12485","Roof",211,"Clam Shoal","Summer_2010",32,22.4,13.8,18.7,16.5,18.3,5,5,5,4,1,32,1,32,0.8,25.6,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.49650756146648,312
"477","ClamShoal211",146012,"14601","Small Mesh",211,"Clam Shoal","Spring_2011",2,13.5,21.4,NA,NA,NA,2,2,2,1,1,2,1,2,0.5,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.09861228866811,313
"479","ClamShoal211",123643,"12364","Open",211,"Clam Shoal","Fall_2011",0,NA,NA,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,0,314
"481","ClamShoal211",124857,"12485","Roof",211,"Clam Shoal","Fall_2011",7,12.6,10.1,14.4,56.1,52.5,5,3,3,3,0.6,4.2,0.6,4,0.6,4.2,"Shell","Early","New","Early dep",4,"High",21.16,"High",8.87,2.07944154167984,315
"482","ClamShoal211",124851,"12485","Roof",211,"Clam Shoal","Summer_2010",50,15.7,10.9,20.5,7.3,24.1,5,5,5,3,1,50,1,50,0.6,30,"Shell","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.93182563272433,316
"483","ClamShoal211",134227,"13422","Control",211,"Clam Shoal","Spring_2011",1,51.8,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,0.693147180559945,317
"485","ClamShoal211",134226,"13422","Control",211,"Clam Shoal","Spring_2011",4,38.6,26.3,42.5,29.5,NA,4,2,0,0,0.5,2,0,0,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.6094379124341,318
"488","ClamShoal211",146011,"14601","Small Mesh",211,"Clam Shoal","Spring_2011",3,22.3,34.9,32.3,NA,NA,3,1,1,0,0.333333333333333,1,0.333333333333333,1,0,0,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.38629436111989,319
"490","ClamShoal211",134228,"13422","Control",211,"Clam Shoal","Spring_2011",3,48.8,25.4,15.4,NA,NA,3,2,1,1,0.666666666666667,2,0.333333333333333,1,0.333333333333333,1,"Shell","Early","New","Early dep",3,"High",21.16,"High",8.87,1.38629436111989,320
"491","ClamShoal213",136083,"13608","Open",213,"Clam Shoal","Spring_2011",7,15.6,25.7,40,37.1,55,5,2,1,1,0.4,2.8,0.2,1,0.2,1.4,"Early seed","Early","New","Early dep",3,"High",21.16,"High",8.87,2.07944154167984,321
"492","ClamShoal213",136174,"13617","Control",213,"Clam Shoal","Fall_2010",10,35,36.8,42.4,23.6,33.1,5,1,1,0,0.2,2,0.2,2,0,0,"Early seed","Early","New","Early dep",2,"High",21.16,"High",8.87,2.39789527279837,322
"493","ClamShoal213",136173,"13617","Control",213,"Clam Shoal","Spring_2011",8,48.5,46.9,34.4,46.7,42.8,5,0,0,0,0,0,0,0,0,0,"Early seed","Early","New","Early dep",3,"High",21.16,"High",8.87,2.19722457733622,323
"495","ClamShoal213",136176,"13617","Control",213,"Clam Shoal","Summer_2010",11,22.2,18.3,17.6,24.1,19,5,5,5,3,1,11,1,11,0.6,6.6,"Early seed","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.484906649788,324
"497","ClamShoal213",137344,"13734","Large Mesh",213,"Clam Shoal","Summer_2010",27,16.9,22.2,16.1,11.2,19.7,5,5,5,4,1,27,1,27,0.8,21.6,"Early seed","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.3322045101752,325
"499","ClamShoal213",120036,"12003","Roof",213,"Clam Shoal","Summer_2010",13,35.6,14.2,17.1,21.5,19,5,4,4,3,0.8,10.4,0.8,10,0.6,7.8,"Early seed","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.63905732961526,326
"500","ClamShoal213",136174,"13617","Control",213,"Clam Shoal","Spring_2011",4,40.4,34.5,66.5,21,NA,4,1,1,0,0.25,1,0.25,1,0,0,"Early seed","Early","New","Early dep",3,"High",21.16,"High",8.87,1.6094379124341,327
"501","ClamShoal213",136178,"13617","Control",213,"Clam Shoal","Summer_2010",26,15.3,18.2,19.1,20,7.4,5,5,5,5,1,26,1,26,1,26,"Early seed","Early","New","Early dep",1.5,"High",21.16,"High",8.87,3.29583686600433,328
"503","ClamShoal213",136082,"13608","Open",213,"Clam Shoal","Spring_2011",10,62.3,45.6,19.3,15.9,42.5,5,2,2,2,0.4,4,0.4,4,0.4,4,"Early seed","Early","New","Early dep",3,"High",21.16,"High",8.87,2.39789527279837,329
"505","ClamShoal213",136175,"13617","Control",213,"Clam Shoal","Summer_2010",12,7.5,8.5,5.7,10.5,9.7,5,5,5,5,1,12,1,12,1,12,"Early seed","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.56494935746154,330
"508","ClamShoal213",136619,"13661","Small Mesh",213,"Clam Shoal","Fall_2010",11,47.6,36.6,40.7,24,22.1,5,2,2,0,0.4,4.4,0.4,4,0,0,"Early seed","Early","New","Early dep",2,"High",21.16,"High",8.87,2.484906649788,331
"510","ClamShoal213",137344,"13734","Large Mesh",213,"Clam Shoal","Spring_2011",3,16,31.6,15.3,NA,NA,3,2,2,2,0.666666666666667,2,0.666666666666667,2,0.666666666666667,2,"Early seed","Early","New","Early dep",3,"High",21.16,"High",8.87,1.38629436111989,332
"511","ClamShoal213",136081,"13608","Open",213,"Clam Shoal","Spring_2011",10,57.7,29.8,58.4,62.4,65,5,1,0,0,0.2,2,0,0,0,0,"Early seed","Early","New","Early dep",3,"High",21.16,"High",8.87,2.39789527279837,333
"512","ClamShoal213",137346,"13734","Large Mesh",213,"Clam Shoal","Spring_2011",5,23.9,22.3,19,30.6,43.2,5,3,3,1,0.6,3,0.6,3,0.2,1,"Early seed","Early","New","Early dep",3,"High",21.16,"High",8.87,1.79175946922805,334
"513","ClamShoal213",136177,"13617","Control",213,"Clam Shoal","Summer_2010",16,12.8,14.1,14,24.1,15.5,5,5,5,4,1,16,1,16,0.8,12.8,"Early seed","Early","New","Early dep",1.5,"High",21.16,"High",8.87,2.83321334405622,335
"514","ClamShoal213",136178,"13617","Control",213,"Clam Shoal","Fall_2010",23,32.9,34.6,19.1,17.7,21.2,5,3,3,2,0.6,13.8,0.6,14,0.4,9.2,"Early seed","Early","New","Early dep",2,"High",21.16,"High",8.87,3.17805383034795,336
